Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=a2089ff8a19a429f,Fullstack SW개발자,신재생에너지 분야 솔루션기업 성남 판교역,,"end 개발 [자격요건] -유관업무 경력 5년 이상 -Programmming Language : C/C++, Java, Python -데이터베이스 기초설계 및 연동 -웹기반 UI 개발 경험 [우대요건] -분산형 시스템..."
https://kr.indeed.com/viewjob?jk=debad29522470579,Security Solution SW엔지니어,STB등 디바이스 개발 및 공급 성남 분당구,,"경력 3~10년 사원~과장급 -Skill : Programming language - C, C++, JAVA -외국어 : 고객 E-mail communication 문제 없는 수준, 고객 meeting 및 conference..."
https://kr.indeed.com/viewjob?jk=c2776da0b5fbc276,Platform SW엔지니어,STB등 디바이스 개발 및 공급 성남 분당구,,"경력 3~10년 사원~과장급 -Skill : Programming language - C, C++, JAVA -외국어 : 고객 E-mail communication 문제 없는 수준, 고객 meeting 및 conference..."
https://kr.indeed.com/viewjob?jk=df7db7aea335e814,Software Engineer - Mobile 리더,리테일-테크회사 서울 강남구,,"및 최적화 경험 (예시 : Xcode profiling tool 등) - 안드로이드의 경우, Kotlin/ Java 기반의 프로젝트 개발 경험 혹은 빠르게 습득 할수 있는 능력 - iOS의 경우, Swift/Objective..."
https://kr.indeed.com/viewjob?jk=b23e63187a91d753,Android 개발,"모바일식권, 기업 식대관리 솔루션 서울 강남구",,"및 유지보수 [ 자격요건 ] - 경력 : 7년 이상 - 전공 : 컴퓨터 관련 전공자 - Android, Java 능통자 - 모바일 UI / UX에 대한 높은 이해도 - Android 최신 트랜드를 이용한 개발 경험 - 개발..."
https://kr.indeed.com/viewjob?jk=5474affc60ca0c54,Software Engineer - Mobile (iOS/Android),Pixlee 서울,,areas are strongly encouraged: * Objective C/Swift * Java * Android Studio/Xcode/other modern mobile IDEs * Javascript/HTML...
https://kr.indeed.com/viewjob?jk=8373ffcbff31be2b,"김집사 부문별 개발 경력직 (BackEnd, Android, iOS)",달리자 서울 송파구,,초고속성장 중인 회사입니다. 1. Back-End 개발(PHP or JAVA) [직무] - 김집사 서비스의 다양한 Back-End 플랫폼 개발... Structure 설계 경험 - Java 또는 PHP Language의...
https://kr.indeed.com/viewjob?jk=72d45768ce8b1967,더모모스 SW 개발자 (PHP),더모모스 부산 동래구,"월급 2,000,000원 - 2,200,000원","절차 및 제출서류 제출서류 이력서에 응시분야, 연락처, 희망연봉 기재 직무/산업 직무별(직종) 콘텐츠.사이트운영디버깅 웹프로그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA, PHP, CGI, XML"
https://kr.indeed.com/viewjob?jk=342f7b7a7aa65aea,Software Engineer - Android Voice & Vide...,SendBird 서울,,"Experience with Java multithreading... TCP/UDP, TLS, etc.) * Experience in Java, Kotlin, JVM, and NDK * Understanding..."
https://kr.indeed.com/viewjob?jk=2bdcce8d8904bb00,"Mobile App (iOS, Android)",리테일-테크회사 서울 강남구,,자격요건 ] - 나이 : 20대 초반~30대 중반 - 경력 : 1년 이상 - Swift/Objective-C 나 Java 기반의 프로젝트 개발 경험 - 안드로이드나 iOS 중에서 네이티브 모바일 앱 개발 경력 - 팀 워크 및...
https://kr.indeed.com/viewjob?jk=c3b10346f12daeca,[공통기술부문] DevOps 엔지니어,우아한 형제들 서울 송파구,,"전공 무관 - 코드로 개발 플랫폼 환경을 구축하고 운영한 경험이 있으신 분 - python, golang, java, kotlin 중 하나에 능숙하신 분 - AWS, GCP, Azure 중 하나 이상의 클라우드 아키텍처 구성..."
https://kr.indeed.com/viewjob?jk=b5b0a65d13df4183,Cloud Solution(MS Azure) Architect,유명 IT 유통사 서울 강남구,,용어를 이해하고 관련내용을 실제 구축 및 운영할 수 있는자. 우대 사항 ㆍweb... php/mysql/ java) 관련 개발 및 운영 유 경험자 우대 ㆍ 클라우드 기반 시스템 구축 및 운영 유 경험자 우대 . ms...
https://kr.indeed.com/viewjob?jk=068ea401307735af,(주)더모모스 SW 개발자 (PHP),더모모스 부산 동래구,"월급 2,000,000원",게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP |인터넷·IT·통신... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프...
https://kr.indeed.com/viewjob?jk=59fc09f70b760da5,"JSP, JAVA 외 신입/경력 정규직, 프리랜서",지아이데이타 서울,,통신·모바일·게임>웹프로그래밍> JAVA|인터넷·IT·통신·모바일·게임>웹프... 프로그래밍>ActiveX|인터넷·IT·통신·모바일·게임>응용 프로그래밍> JAVA|인터넷·IT·통신·모바일·게임>응용 프로그래밍>Visual Basic...
https://kr.indeed.com/viewjob?jk=14e3c1a7edd26e20,Web 개발,지앤 서울 금천구,"연봉 30,000,000원 - 32,000,000원","락처, 희망연봉 기재 직무/산업 직무별(직종) 콘텐츠.사이트운영디버깅 웹프로그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA, PHP, CGI, XML 산업별(업종) 컴퓨터.하드웨어.주변기기 장비구축"
https://kr.indeed.com/viewjob?jk=b87ff4aabad6e65e,Process & Data Scientist,Applied Materials Inc. 대한민국,,"Experience... least one programming language (Python, R, Java, etc... writing SQL queries Qualifications Education..."
https://kr.indeed.com/viewjob?jk=d26f9e019cb7449c,[해외취업] JAVA 기반 웹 개발 및 솔루션 개발자,누리누비 대한민국,,학력 전문대학 졸업 경력 무관 자격면허 외국어능력 필수 일본어(중상) : 현지인과 대화 가능 주요업무내용 Java 기반의 웹 개발 및 솔루션 개발 은행 등 금융 기관 시스템 개발 및 유지보수 관공서 및 공공기관의 시스템...
https://kr.indeed.com/viewjob?jk=295419a59521b774,[대전] 교통·GIS시스템/솔루션 개발(웹/앱/CS) 및 분석/설계,지앤티솔루션 대전 서구,,"리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, JSP, JAVA 응용프로그래머Application 시스템프로그래머시스템프로그래머 시스템분석.설계.SE시스템분석, 시스템설계..."
https://kr.indeed.com/viewjob?jk=3ba201322fd814b2,프로젝트 웹 개발자(JAVA) 경력직,인포텍코퍼레이션 서울 영등포구,,"jsp, java, ASP 인포텍코퍼레이션(주) 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] 프로젝트 웹 개발( JAVA... 우대 [웹프로그래밍] - jsp, java, ASP 0 명 근무조건..."
https://kr.indeed.com/viewjob?jk=e5c152fe0141868a,S/W개발 정규직,에이치시티 경기도 이천,,"층우대 [장애인채용희망여부] 비희망 [병역특례] - 비희망 [기타 우대내용] JAVA Web 개발경험 2~3년 (JSP/Oracle) Java Oracle, 네트워크 사용 가능자 TOEIC 800 이상 우대 인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=ba614c5c8e726ee1,"응용프로그래머,알고리즘,영상처리, 머신비전, AI 개발자",펨트론 서울 금천구,,"템공학 -수학/통계학 -공학계열 [응용 프로그래밍] - C, C++, JAVA, 임베디드 개발 유경험자 - .NET 프레임워크에 대한 기반 지식 보유... 분 [웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자..."
https://kr.indeed.com/viewjob?jk=c75480a8fb209499,"솔루션엔지니어, 서버엔지니어, 네트워크엔지니어",이지서티 서울 구로구,,제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>Unix|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux...
https://kr.indeed.com/viewjob?jk=a2b3aa4885ea6dfb,"(하나금융융합기술원) AI/Bigdata 석,박사 연구원(경력직) 채용(...",하나금융티아이 인천 검암경서동,,"Engineering/정보검색/NLP/머신러닝/ 텍스트 마이닝 분야 연구 및 개발자 -프로그램(python, java, C/C++ 등) 가능자 *우대사항 -챗봇, 상담시스템, Q&A시스템 구축 경험 -온톨로지 기반..."
https://kr.indeed.com/viewjob?jk=3ed6234b9cc27865,(주)더그라운드 시스템 소프트웨어 개발자,더그라운드 대전 대덕구,,병역특례] - 비희망 [기타 우대내용] 관련 직종 경력자 우대 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#
https://kr.indeed.com/viewjob?jk=b12d49b051049977,[촉탁직]SK머티리얼즈 등 HRIS 재구축 인력 모집,SK 씨앤씨 4.0 대한민국,,"hr시스템 구축 사업 수행 역량 - hr시스템 설계 역량 - hr시스템 단위 업무개발 leading 역량 - java, html, javascript 프로그래밍 기술 보유 - sql(oracleq- orms-sql) 프로그래..."
